"predictorNameUnit","brt KDE","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target","TargetBRT NA"
"Available Water Content (Mean Depth, cm) (m3/m3)",0.840500390930414,8.243408877887,6.5169636319258,11.2536361406091,6.67050793369382,7.86667902837012,3.58210776835297,1.34560092006901,0.482425913163308,NA
"Bare Ground Standard Deviation (st dev of percent cover)",2.27716966379984,1.05025355091446,4.01043915810819,NA,NA,0.584090487669218,1.29370842741198,1.24209315698674,0.872961176200302,NA
"Evapotranspiration (Jun-Aug) (mm)",7.21755277560594,6.85668965848735,2.69615666247349,2.88437949041461,3.14245191029164,3.64824772853701,2.82541038628179,6.80851063829793,2.32023891569035,NA
"Land Surface Temperature (MODIS) (0-254)",NA,5.53726357278474,11.8942565854941,NA,10.1542416452442,2.92972371592807,17.3308110087265,0.782058654399034,2.64185619113252,NA
"Maximum Temperature Summer (degree C)",10.5258014073495,15.196231584513,9.66560898218208,4.94164651456208,NA,6.25347672909326,5.22975529383045,1.43760782058652,2.96347346657481,NA
"Mean Diurnal Range (Bio2) (degree C)",NA,4.85952558340743,5.61949644204953,6.39259804436969,1.48479744703485,5.52568143890227,2.86812717397937,1.15008625646924,1.28646910176891,NA
"Mean PET (Oct-Jun) (mm)",11.0731039874902,11.7522651349468,14.3350669345299,10.4125048189815,12.77812250687,11.5195623956981,17.1233294684811,1.46060954571592,2.89455547897998,19.8541895535803
"Minimum Temperature Winter (degree C)",7.5254104769351,15.4942440337427,7.88569497380823,16.8681877124733,11.9891853559082,19.5438531429631,12.3573564410814,4.16331224841864,8.15529519871354,29.856186956956
"Percent Calcium Carbonate In Soil (percent)",3.10789679437063,2.01398735850417,12.100786691951,3.80611923036486,5.48266997606595,2.1509363990358,0.274607920912923,2.15066129959752,1.35538708936361,NA
"Percent Sand (0-5 cm) (percent)",NA,1.56216203225263,3.52227708830101,NA,3.89593121177201,0.913220841832014,2.25178495148592,1.41460609545717,1.21755111417408,NA
"Precipitation Seasonality (Cv) (Bio15) (percent)",16.9517200938233,9.94256050373716,17.930568333302,12.4802859846494,31.1186951511391,15.3949564249953,28.8582412888265,8.5681426106958,54.3073742246727,50.2896234894637
"Remoteness (Night Lights) (brightness?)",40.4808444096951,17.4914081088226,3.82268451587466,30.9606420635755,13.2833968619803,23.6695716669757,6.00475987062913,69.4767107533065,21.5024121295659,NA
