predictorNameUnit,brt KDE,brt target,glm KDE,glm target,mars KDE,mars target,Maxent KDE,Maxent target,rf KDE,rf target
"Available Water Content (Mean Depth, cm) (m3/m3)",4.097506214,NA,13.99733215,NA,13.42737967,NA,8.879093199,NA,3.093081519,NA
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,0,0,0.283375315,0.152274602,0.790132974,2.544632038
Bare Ground Standard Deviation (st dev of percent cover),NA,NA,NA,NA,1.049819562,0,1.157115869,0.628132733,1.792252843,1.235964133
Burn Frequency (years),NA,NA,NA,NA,0,0.298923197,0.700566751,0.78675211,0.385430719,0.517004605
Depth To Restriction Layer (Mean) (cm),NA,NA,NA,NA,5.385011951,1.436869459,4.59697733,1.478332593,3.32433995,1.647952177
Evapotranspiration (Mar-Jun) (mm),27.88068318,50.20482476,50.88928413,34.68020822,14.18193748,48.79241822,26.20434509,36.28576867,24.07014839,34.59083932
Human Influence Index (index of 0-64),NA,NA,NA,NA,0,0.577465267,1.550692695,1.319713216,4.393910195,1.833750707
Isothermality (Bio3) (percent),NA,5.078353599,NA,12.72250737,5.155363922,17.44964163,2.329974811,7.080768987,1.927153594,5.670894256
Landscape Condition Model (index of  0-1),21.64220993,2.418882892,16.63405958,NA,4.138351221,1.267026733,6.745906801,2.994733837,21.61302756,2.875838113
Mean March Precipitation/Mean Spring Precipitation (fraction/mm),21.0728891,6.177254698,NA,3.410869644,13.6570277,4.663881246,19.30887909,8.305310577,11.57255733,6.971483965
Mean PET (Oct-Jun) (mm),6.47101275,29.72885103,NA,49.18641476,38.71209636,24.65776691,9.886649874,31.75559926,6.03199075,21.93230471
Mean Temperature Spring (degree C),NA,6.391833019,NA,NA,NA,0,NA,4.320791828,NA,10.3158575
Percent Calcium Carbonate In Soil (percent),NA,NA,NA,NA,1.809064067,0,3.266687657,1.852674323,1.830795914,5.436626545
Percent Clay (0-5 cm) (percent),4.241841071,NA,NA,NA,0.595210198,0.856007337,3.140743073,1.643296745,3.285796878,1.647952177
Remoteness (Night Lights) (brightness?),3.929115548,NA,5.220097821,NA,0,0,3.565806045,1.395850517,3.950664868,2.77889975
Temperature Annual Range (Bio7) (degree C),10.6647422,NA,13.25922632,NA,1.888737873,NA,8.383186398,NA,11.93871652,NA
