"predictorNameUnit","brt KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,NA,3.44731462553429,NA,0,0.325203252032511,-0.320898515844367,1.03207191210741,1.171875
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,2.50439860741962,NA,1.77877138413686,2.63224075781711,1.47545919903644,-1.26067274081717,0.676950393962934,0.139036016949145
"Bare Ground Standard Deviation (st dev of percent cover)",NA,3.93680393680397,NA,NA,NA,NA,NA,0.383932152885225,NA,2.39009533898305
"Depth To Restriction Layer (Mean) (cm)",4.81850598884521,6.64983164983164,2.15625350952721,11.8193644304032,2.93059875583204,9.36373543465504,1.15025594700393,6.51538593776862,3.09621573632229,9.02409957627119
"Evapotranspiration (Apr-Oct) (mm)",4.74535978787598,NA,2.30224984090145,NA,0,NA,1.60794941282746,0.67044868488909,4.30584840750194,2.12526483050847
"Human Influence Index (index of 0-64)",16.4030355673402,8.23620823620823,22.8240931381724,10.6439323545809,23.3961897356143,3.13521669880126,21.294790725685,5.47819609191448,31.3172788813672,6.77966101694919
"Landscape Condition Model (index of  0-1)",6.69287738868064,NA,9.76303672369257,2.71325032521836,11.3578926905132,3.24419481934779,8.34086118638961,1.80505415162454,7.15791810009988,1.82733050847457
"Maximum Temperature Summer (degree C)",3.78531590015542,6.03470603470603,3.1033579156216,NA,0.908825816485219,8.71824964372537,1.27070159590485,6.57841957480947,4.58328709355229,7.44173728813556
"Mean Annual Precipitation (mm)",9.59129560208468,6.82465682465682,1.43375884400853,11.5127299758409,4.55384914463453,3.85614888087853,4.25173140620295,6.82482379233283,5.13816446565312,7.71318855932204
"Mean Diurnal Range (Bio2) (degree C)",NA,NA,8.49024819376335,NA,3.29996111975117,NA,2.37277928334839,NA,1.86438797025859,NA
"Mean Summer PET (mm)",5.06537441711622,7.69878269878269,1.49365477482875,14.7370377253299,3.61586314152411,7.98893452929835,6.64257753688648,15.5463870265314,4.81633558983466,9.11679025423729
"Mean Tree Cover (percent)",29.7065008686111,11.3442113442114,30.0527832890353,18.3283776249768,43.9784214618974,31.7880794701987,35.995182174044,19.9358202968311,28.6760625901676,12.2616525423729
"Minimum Temperature Winter (degree C)",19.1917344792905,49.2747992747992,15.8761651630292,13.603419438766,4.1796267496112,29.2731997652779,15.3748870822042,37.5393960231506,6.80279658195533,37.2815148305085
"Percent Calcium Carbonate In Soil (percent)",NA,NA,NA,13.1945734993496,NA,0,-0.102378801565796,0.303707523924116,0.532682277216713,2.72775423728815
