"predictorNameUnit","BRT KDE","BRT TARGET","GLM KDE","GLM TARGET","MARS KDE","MARS TARGET","MAXENT KDE","MAXENT TARGET","RF KDE","RF TARGET"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,1.97628458498024,9.706457925636,0.133986812876835,4.95135860449513,0.820322836729281,4.68456810093818,1.29503178714386,9.26298832058005,6.8527918781725
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,NA,NA,0.291167906826274,-0.117730162467644,0,1.2690355329948
"Burn Frequency (years)",NA,NA,NA,NA,NA,NA,0.219993529602075,0.182481751824804,0,0
"Burning Index (index of 0-100)",12.6384931940488,35.4249011857707,6.67318982387475,13.8288494763936,16.0147601476015,21.0814148363765,13.25137495956,14.7280433246998,7.65203383004437,35.4060913705591
"Depth To Restriction Layer (Mean) (cm)",3.94903450459009,NA,4.33463796477497,0.0141038750396617,2.44213351224423,NA,2.72403752830799,0.217800800565094,0.523560209423937,1.2690355329948
"Evapotranspiration (Jun-Aug) (mm)",16.1443494776828,0.988142292490118,15.1418786692759,NA,22.5964441462596,1.30545999823585,21.3264315755419,1.37155639274782,21.7881594844948,3.93401015228473
"Human Influence Index (index of 0-64)",NA,NA,4.83365949119374,1.55142625436339,6.97081516269708,2.61974067213547,4.07635069556775,1.51283258770895,1.73177607732576,1.2690355329948
"Landscape Condition Model (index of  0-1)",15.4479265590377,1.501976284585,18.380626223092,0.877966221219277,15.270043609527,NA,14.0666450986736,0.665175417942057,23.0366492146597,3.04568527918738
"Maximum Temperature Summer (degree C)",8.66571699905031,NA,6.73679060665362,6.20217904869363,NA,NA,11.2843739890003,4.76807157993879,2.49697946033029,1.2690355329948
"Mean Diurnal Range (Bio2) (degree C)",9.74992086103198,NA,8.86497064579256,NA,3.50888963435089,1.27017729558084,3.8822387576836,0.512126206734154,4.67176802255334,1.2690355329948
"Mean Growing Season Precipitation (Apr-Oct) (mm)",NA,3.201581027668,NA,8.05683861640986,NA,2.76969215841932,NA,8.41182010831173,NA,1.9035532994922
"Minimum Temperature Winter (degree C)",13.0262741373853,35.1482213438735,9.86301369863013,25.1401572582067,8.09124454880912,33.2892299550146,7.90682626981557,40.1518719095833,6.8465565847764,15.1015228426394
"Percent Calcium Carbonate In Soil (percent)",NA,NA,0.00489236790607143,7.00962589471457,10.0771553170077,4.83373026373821,0.407635069556756,4.8269366611726,0.201369311316933,1.9035532994922
"Percent Clay (0-5 cm) (percent)",3.24469768914216,15.5335968379447,1.61937377690804,22.6790310637848,NA,21.0461321337215,2.1740537043028,14.1923710854721,0.563834071687368,11.5482233502542
"Percent Sand (0-5 cm) (percent)",5.83254194365304,NA,1.00293542074364,5.29600507739501,NA,4.29566904824909,4.98220640569396,2.96680009418413,1.16794200563839,1.52284263959404
"Precipitation Seasonality (Cv) (Bio15) (percent)",NA,4.46640316205536,NA,8.17672155424703,NA,5.39825350621854,NA,3.98516599952909,NA,6.72588832487288
"Remoteness (Night Lights) (brightness?)",11.3010446343779,1.75889328063241,12.8375733855186,1.03310884665562,10.0771553170077,1.27017729558084,8.72209640892916,0.329644454909351,20.0563834071687,5.71065989847732
