predictorNameUnit,BRT KDE,BRT target,glm KDE,glm target,mars KDE,Maxent KDE,rf KDE
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,1.833025662,1.886576721,NA,2.389493173,0.07074137
Bare Ground Standard Deviation (st dev of percent cover),NA,NA,0.75141052,NA,1.631588256,2.846563296,0.226372383
Burn Frequency (years),18.8852037,24.89700242,14.36520111,10.06174251,29.9345596,4.02105994,47.11375212
Depth To Restriction Layer (Mean) (cm),1.440522746,NA,1.440420166,NA,NA,1.585281185,0.3254103
Evapotranspiration (Apr-Oct) (mm),4.687886738,75.10299758,4.082057149,7.679701197,NA,4.859986114,3.324844369
Human Influence Index (index of 0-64),3.702786991,NA,2.358233015,1.303453007,3.276441457,3.63341819,2.079796265
Isothermality (Bio3) (percent),NA,NA,1.95782741,4.188581447,NA,1.035639898,0.438596491
Landscape Condition Model (index of  0-1),5.712588486,NA,3.263045683,2.065706228,NA,2.777134922,3.678551217
Mean Annual Precipitation (mm),17.20211871,NA,13.13278386,13.64433265,16.94375663,18.46794723,19.524618
Mean Temperature Spring (degree C),20.18711945,NA,19.59907439,25.207714,12.79182879,13.99560287,9.748160724
Minimum Temperature Winter (degree C),9.677738726,NA,8.10431346,21.22494093,7.821896003,12.58967832,0.721561969
Percent Clay (0-5 cm) (percent),NA,NA,3.32284652,3.224331123,NA,0.433927332,0.212224109
Percent Sand (0-5 cm) (percent),3.544378991,NA,3.61145056,5.716899154,4.426070039,4.009488544,0.764006791
Precipitation Seasonality (Cv) (Bio15) (percent),8.16296223,NA,8.944125218,NA,4.545454545,8.915760241,4.824561404
Remoteness (Night Lights) (brightness?),6.796693233,NA,3.520449286,3.796021038,6.902193138,7.255264985,6.677985286
Temperature Annual Range (Bio7) (degree C),NA,NA,9.713735992,NA,11.72621153,11.18375376,0.268817204
