"predictorNameUnit","BRT KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,2.95716748441852,NA,0.91315805601521,NA,3.29033193216408,NA,0.240269101393536,NA
"Bare Ground Standard Deviation (st dev of percent cover)",NA,2.57393886895183,0.0769128762763592,0.359891389919822,NA,NA,0.362371358167851,2.52844500632115,0.240269101393536,0.202839756592497
"Burn Frequency (years)",NA,NA,1.08738894045884,4.52916887582141,0.723172151743589,NA,0,1.70183798502385,0,0
"Burning Index (index of 0-100)",NA,NA,13.8071873756796,NA,NA,NA,4.69633280185535,NA,5.86256607400292,NA
"Depth To Restriction Layer (Mean) (cm)",NA,NA,1.16164964858773,0.955961504474543,0.903965189679478,NA,1.82635164516594,0.602936886122735,0.864968765016622,0
"Evapotranspiration (Oct-Jun) (mm)",NA,3.62578888751391,1.89364805728684,3.66157356083611,NA,7.80640124902417,0.63777359037541,6.00019449576971,0.480538202787072,1.92697768762647
"Human Influence Index (index of 0-64)",NA,NA,1.51969234849489,3.14904966179849,1.51069436783724,NA,4.05855921147993,0,9.65881787602125,0
"Isothermality (Bio3) (percent)",NA,NA,5.19559740087521,10.6457158464678,15.9496230924802,NA,2.89172343817945,0,0.480538202787072,0.304259634888183
"Landscape Condition Model (index of  0-1)",15.3781963402277,NA,7.56398355655748,2.48549991163381,6.59741374027088,NA,13.784606464705,0,32.2441134070161,0
"Maximum Temperature Summer (degree C)",15.5748942003934,NA,3.56716615833444,3.34506193666554,1.48618005760863,NA,5.15292071314684,0,4.03652090341187,0
"Mean Diurnal Range (Bio2) (degree C)",NA,NA,NA,11.1502064555518,30.563216277502,NA,1.22481519060731,0.379266750948168,0.240269101393536,0.709939148073176
"Mean March Precipitation/Mean Spring Precipitation (fraction/mm)",NA,2.27694592253435,13.4889271979843,6.35754566925339,1.41570141570142,11.0730799255389,6.60240614581824,0.291743654575534,6.34310427679,1.82555780933022
"Mean PET (Oct-Jun) (mm)",37.5871729153007,36.1960153446356,9.1897626309508,24.6991532912389,10.0049028620457,45.8295802558098,21.9597043049718,38.5101624039676,24.0749639596349,16.1257606490872
"Minimum Temperature Winter (degree C)",20.3373666328903,46.7145155302562,18.6102638907307,9.92111309265597,9.66783109640252,33.1651954602774,21.3509204232498,44.2964115530487,12.3017779913504,77.8904665314409
"Percent Clay (0-5 cm) (percent)",11.1223699111879,5.23450068060885,5.72868319851478,8.21805562249964,2.30434516148803,NA,4.26873459921728,0,1.24939932724644,0.507099391480679
"Percent Sand (0-5 cm) (percent)",NA,NA,6.84789815674313,2.91447759515432,1.26861555432985,NA,2.22496013915057,2.70349119906642,0.961076405574143,0
"Remoteness (Night Lights) (brightness?)",NA,3.37829476549933,NA,7.6075255860285,NA,2.12574310934966,0.195680533410634,2.98551006515609,0.720807304180607,0.507099391480679
"Temperature Annual Range (Bio7) (degree C)",NA,NA,7.30407107810635,NA,16.6911809768953,NA,5.47180750833455,NA,0,NA
